optimizer,layer,head,DAR_w,DAR
AdamW,0,0,1,0.3076923191547394
AdamW,0,1,1,0.0
AdamW,0,2,1,0.1538461595773697
AdamW,0,3,1,0.2307692319154739
AdamW,0,4,1,0.1538461595773697
AdamW,0,5,1,0.4615384638309479
AdamW,0,6,1,0.0769230797886848
AdamW,0,7,1,0.2307692319154739
AdamW,1,0,1,0.2307692319154739
AdamW,1,1,1,0.2307692319154739
AdamW,1,2,1,0.2307692319154739
AdamW,1,3,1,0.3076923191547394
AdamW,1,4,1,0.2307692319154739
AdamW,1,5,1,0.6153846383094788
AdamW,1,6,1,0.2307692319154739
AdamW,1,7,1,0.3846153914928436
AdamW,2,0,1,0.2307692319154739
AdamW,2,1,1,0.4615384638309479
AdamW,2,2,1,0.2307692319154739
AdamW,2,3,1,0.3076923191547394
AdamW,2,4,1,0.2307692319154739
AdamW,2,5,1,1.0
AdamW,2,6,1,0.1538461595773697
AdamW,2,7,1,0.4615384638309479
AdamW,3,0,1,0.3076923191547394
AdamW,3,1,1,0.3076923191547394
AdamW,3,2,1,0.3076923191547394
AdamW,3,3,1,0.2307692319154739
AdamW,3,4,1,0.2307692319154739
AdamW,3,5,1,1.0
AdamW,3,6,1,0.3076923191547394
AdamW,3,7,1,0.7692307829856873
AdamW,4,0,1,0.3076923191547394
AdamW,4,1,1,0.5384615659713745
AdamW,4,2,1,0.2307692319154739
AdamW,4,3,1,0.3076923191547394
AdamW,4,4,1,0.3076923191547394
AdamW,4,5,1,1.0
AdamW,4,6,1,0.3846153914928436
AdamW,4,7,1,0.692307710647583
AdamW,5,0,1,0.3846153914928436
AdamW,5,1,1,0.6153846383094788
AdamW,5,2,1,0.3846153914928436
AdamW,5,3,1,0.2307692319154739
AdamW,5,4,1,0.3846153914928436
AdamW,5,5,1,0.692307710647583
AdamW,5,6,1,0.3846153914928436
AdamW,5,7,1,0.6153846383094788
AdamW,6,0,1,0.2307692319154739
AdamW,6,1,1,0.8461538553237915
AdamW,6,2,1,0.7692307829856873
AdamW,6,3,1,0.5384615659713745
AdamW,6,4,1,0.3846153914928436
AdamW,6,5,1,0.3846153914928436
AdamW,6,6,1,0.3846153914928436
AdamW,6,7,1,0.2307692319154739
AdamW,7,0,1,0.2307692319154739
AdamW,7,1,1,1.0
AdamW,7,2,1,0.5384615659713745
AdamW,7,3,1,0.692307710647583
AdamW,7,4,1,1.0
AdamW,7,5,1,0.2307692319154739
AdamW,7,6,1,0.4615384638309479
AdamW,7,7,1,0.2307692319154739
AdamW,8,0,1,0.2307692319154739
AdamW,8,1,1,1.0
AdamW,8,2,1,0.8461538553237915
AdamW,8,3,1,1.0
AdamW,8,4,1,1.0
AdamW,8,5,1,0.4615384638309479
AdamW,8,6,1,0.3076923191547394
AdamW,8,7,1,0.1538461595773697
AdamW,9,0,1,0.1538461595773697
AdamW,9,1,1,0.2307692319154739
AdamW,9,2,1,0.4615384638309479
AdamW,9,3,1,0.7692307829856873
AdamW,9,4,1,0.7692307829856873
AdamW,9,5,1,0.9230769276618958
AdamW,9,6,1,0.5384615659713745
AdamW,9,7,1,0.1538461595773697
AdamW,10,0,1,0.3076923191547394
AdamW,10,1,1,0.9230769276618958
AdamW,10,2,1,0.3076923191547394
AdamW,10,3,1,0.5384615659713745
AdamW,10,4,1,0.692307710647583
AdamW,10,5,1,0.692307710647583
AdamW,10,6,1,0.2307692319154739
AdamW,10,7,1,0.3846153914928436
AdamW,11,0,1,0.2307692319154739
AdamW,11,1,1,0.2307692319154739
AdamW,11,2,1,0.4615384638309479
AdamW,11,3,1,0.2307692319154739
AdamW,11,4,1,0.5384615659713745
AdamW,11,5,1,0.0769230797886848
AdamW,11,6,1,0.5384615659713745
AdamW,11,7,1,0.2307692319154739
Adan,0,0,1,0.1538461595773697
Adan,0,1,1,0.2307692319154739
Adan,0,2,1,0.3846153914928436
Adan,0,3,1,0.0
Adan,0,4,1,0.4615384638309479
Adan,0,5,1,0.3076923191547394
Adan,0,6,1,0.692307710647583
Adan,0,7,1,0.5384615659713745
Adan,1,0,1,0.4615384638309479
Adan,1,1,1,0.3846153914928436
Adan,1,2,1,0.4615384638309479
Adan,1,3,1,0.1538461595773697
Adan,1,4,1,0.4615384638309479
Adan,1,5,1,0.6153846383094788
