optimizer,layer,mean_DAR,frac_heads_DAR>=0.5,frac_heads_DAR==1
AdamW,0,0.20192308072000742,0.0,0.0
AdamW,1,0.30769231356680393,0.125,0.0
AdamW,2,0.38461538776755333,0.125,0.125
AdamW,3,0.4326923154294491,0.25,0.125
AdamW,4,0.47115385718643665,0.375,0.125
AdamW,5,0.4615384731441736,0.375,0.0
AdamW,6,0.4711538553237915,0.375,0.0
AdamW,7,0.5480769295245409,0.5,0.25
AdamW,8,0.6250000037252903,0.5,0.375
AdamW,9,0.5000000093132257,0.5,0.0
AdamW,10,0.5096153970807791,0.5,0.0
AdamW,11,0.3173077004030347,0.25,0.0
Adan,0,0.3461538553237915,0.25,0.0
Adan,1,0.413461547344923,0.25,0.0
Adan,2,0.538461547344923,0.5,0.0
Adan,3,0.77884616330266,0.875,0.375
Adan,4,0.6538461651653051,0.75,0.0
Adan,5,0.7307692356407642,0.75,0.375
Adan,6,0.5096153933554888,0.5,0.0
Adan,7,0.4038461670279503,0.5,0.0
Adan,8,0.26923077553510666,0.0,0.0
Adan,9,0.3461538553237915,0.125,0.0
Adan,10,0.25000000558793545,0.0,0.0
Adan,11,0.2211538515985012,0.0,0.0
Muon,0,0.36538462340831757,0.125,0.0
Muon,1,0.36538462340831757,0.125,0.0
Muon,2,0.2884615436196327,0.0,0.0
Muon,3,0.3076923154294491,0.125,0.0
Muon,4,0.23076923750340939,0.0,0.0
Muon,5,0.24038462154567242,0.125,0.0
Muon,6,0.2884615436196327,0.125,0.0
Muon,7,0.2788461595773697,0.0,0.0
Muon,8,0.2403846215456724,0.0,0.0
Muon,9,0.2980769295245409,0.0,0.0
Muon,10,0.25000000558793545,0.0,0.0
Muon,11,0.36538462713360786,0.25,0.0
